time,seconds_elapsed,z,y,x
1763481145037637000,0.12163720703125,119.25499725341797,-312.49078369140625,113.85039520263672
1763481145047657200,0.1316572265625,119.04759979248047,-312.5517883300781,113.36239624023438
1763481145057645800,0.141645751953125,119.34040069580078,-314.19879150390625,112.48400115966797
1763481145077657000,0.161656982421875,120.38959503173828,-314.8941955566406,111.7885971069336
1763481145087657700,0.17165771484375,119.54779815673828,-315.0771789550781,111.17859649658203
1763481145097657900,0.181657958984375,119.65760040283203,-314.8088073730469,110.32460021972656
1763481145107658000,0.191657958984375,119.34040069580078,-314.9429931640625,110.01959991455078
1763481145117657300,0.2016572265625,120.07239532470703,-315.1015930175781,110.03179931640625
1763481145127647200,0.211647216796875,118.91339874267578,-315.1015930175781,109.51940155029297
1763481145137647900,0.22164794921875,119.85279846191406,-315.9678039550781,109.77559661865234
1763481145147663600,0.23166357421875,119.43799591064453,-315.7481994628906,109.39739990234375
1763481145157664000,0.2416640625,119.85279846191406,-315.97998046875,109.6780014038086
1763481145167663400,0.251663330078125,119.42579650878906,-316.1752014160156,109.65359497070312
1763481145177662700,0.261662841796875,119.12079620361328,-315.06500244140625,109.82439422607422
1763481145187663000,0.2716630859375,119.64540100097656,-315.9433898925781,109.18999481201172
1763481145197667300,0.281667236328125,119.42579650878906,-315.9678039550781,109.09239959716797
1763481145207663900,0.291663818359375,119.8405990600586,-316.6022033691406,109.05580139160156
1763481145217663500,0.30166357421875,120.07239532470703,-315.9555969238281,109.00699615478516
1763481145227662800,0.311662841796875,119.85279846191406,-315.97998046875,108.9094009399414
1763481145237664300,0.321664306640625,120.16999816894531,-316.5046081542969,109.06800079345703
1763481145247647000,0.33164697265625,119.21839904785156,-316.0776062011719,108.98259735107422
1763481145257663500,0.34166357421875,120.36519622802734,-316.96820068359375,108.94599914550781
1763481145267647500,0.3516474609375,120.79219818115234,-316.6753845214844,108.97039794921875
1763481145277647000,0.361647216796875,120.69459533691406,-316.6265869140625,108.6897964477539
1763481145287663900,0.371663818359375,121.32899475097656,-316.7973937988281,108.59220123291016
1763481145297663200,0.381663330078125,120.80439758300781,-316.1995849609375,109.10459899902344
1763481145307647000,0.39164697265625,120.80439758300781,-316.2117919921875,109.00699615478516
1763481145317646600,0.401646484375,121.3167953491211,-317.38299560546875,108.36039733886719
1763481145327647000,0.41164697265625,121.63399505615234,-317.4317932128906,108.6531982421875
1763481145337647000,0.421647216796875,121.5363998413086,-317.35858154296875,108.45800018310547
1763481145347652600,0.431652587890625,121.84140014648438,-317.78558349609375,107.86019897460938
1763481145357646800,0.441646728515625,122.3781967163086,-317.79779052734375,107.67720031738281
1763481145367647000,0.45164697265625,122.3781967163086,-317.79779052734375,107.67720031738281
1763481145377647000,0.461647216796875,122.69539642333984,-317.7367858886719,107.29899597167969
1763481145387647700,0.471647705078125,122.47579956054688,-318.4809875488281,107.3355941772461
1763481145397647000,0.481647216796875,122.68319702148438,-318.63958740234375,105.88379669189453
1763481145407651300,0.4916513671875,123.11019897460938,-318.4809875488281,106.39619445800781
1763481145417647000,0.501647216796875,121.93899536132812,-319.27398681640625,106.1156005859375
1763481145427663000,0.5116630859375,122.36599731445312,-318.7371826171875,105.87159729003906
1763481145437646800,0.521646728515625,122.4636001586914,-319.6399841308594,105.23719787597656
1763481145447647000,0.53164697265625,122.89059448242188,-319.8717956542969,104.65159606933594
1763481145457646600,0.541646484375,122.79299926757812,-319.2129821777344,104.78579711914062
1763481145467646700,0.551646728515625,122.35379791259766,-319.6278076171875,104.56620025634766
1763481145477647000,0.561647216796875,123.52499389648438,-319.5911865234375,104.5905990600586
1763481145487646700,0.571646728515625,123.42739868164062,-319.5423889160156,104.2001953125
1763481145497647400,0.5816474609375,123.19559478759766,-320.5915832519531,103.16320037841797
1763481145507647000,0.59164697265625,123.08580017089844,-320.76239013671875,103.24859619140625
1763481145517646800,0.601646728515625,123.40299987792969,-320.8111877441406,102.7605972290039
1763481145527646700,0.611646728515625,123.9397964477539,-321.10400390625,102.4677963256836
1763481145537647400,0.6216474609375,123.82999420166016,-321.00640869140625,102.56539916992188
1763481145547647500,0.6316474609375,122.98819732666016,-320.6037902832031,102.28479766845703
1763481145557646300,0.641646240234375,123.19559478759766,-320.689208984375,102.28479766845703
1763481145567648500,0.6516484375,122.97599792480469,-321.5798034667969,100.96720123291016
1763481145577646800,0.661646728515625,123.29319763183594,-321.3357849121094,101.38199615478516
1763481145587647000,0.67164697265625,123.3053970336914,-321.1405944824219,101.4917984008789
1763481145597664500,0.68166455078125,123.3053970336914,-320.9331970214844,100.93059539794922
1763481145607663900,0.691663818359375,124.1594009399414,-320.55499267578125,100.78419494628906
1763481145617663700,0.701663818359375,122.98819732666016,-321.2626037597656,100.51580047607422
1763481145627663000,0.7116630859375,122.78079986572266,-320.9087829589844,100.4303970336914
1763481145637646800,0.721646728515625,123.52499389648438,-320.9209899902344,99.39339447021484
1763481145647647700,0.731647705078125,123.52499389648438,-321.0673828125,98.89319610595703
1763481145657646000,0.74164599609375,124.04959869384766,-321.7261962890625,98.67359924316406
1763481145667643600,0.7516435546875,123.31759643554688,-321.07958984375,98.79560089111328
1763481145677642800,0.761642822265625,124.04959869384766,-321.38458251953125,98.40519714355469
1763481145687643100,0.77164306640625,123.20779418945312,-321.7384033203125,97.11199951171875
1763481145697643300,0.781643310546875,123.9397964477539,-321.7872009277344,97.31939697265625
1763481145707645400,0.7916455078125,123.62259674072266,-322.26300048828125,96.4043960571289
1763481145717645600,0.8016455078125,123.41519927978516,-322.05560302734375,95.84320068359375
