time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1763481146928000000,2.012,45,1.5,8.919565200805664,8.642000198364258,0.10903327912092209,359.9662780761719,363.70001220703125,5.9703598,45.5463252
1763481147924891000,3.008890869140625,32.79999923706055,0.3199999928474426,8.836231231689453,8.482000350952148,0.7233495712280273,158.77362060546875,363.70001220703125,5.9703851,45.5463128
1763481148919997000,4.003996826171875,57,0.30000001192092896,8.842854499816895,8.020000457763672,0.6056922078132629,236.6740264892578,363.70001220703125,5.9704005,45.5463019
1763481149922969300,5.00696923828125,13.300000190734863,0.25999999046325684,8.8667631149292,7.639999866485596,1.3836365938186646,164.86170959472656,363.70001220703125,5.9703364,45.5462861
1763481150925173000,6.009173095703125,19.899999618530273,0.23999999463558197,8.85583782196045,7.435999870300293,1.394511103630066,125.58419799804688,363.70001220703125,5.9703072,45.5462703
1763481151129777400,6.21377734375,180,1.5,8.85583782196045,7.923999786376953,1.39382004737854,125.60795593261719,363.70001220703125,5.9703036,45.5462686
1763481151730329900,6.814329833984375,109.65345001220703,0.37245628237724304,8.85583782196045,8.291999816894531,1.2547619342803955,138.8455047607422,363.70001220703125,5.9703027,45.5462647
1763481152020940000,7.10493994140625,109.44610595703125,0.37245628237724304,13.842935562133789,8.586999893188477,1.0802242755889893,159.60610961914062,363.70001220703125,5.9702815,45.5462661
1763481152301394700,7.385394775390625,88.24082946777344,0.24261261522769928,13.84431266784668,8.100000381469727,1.059672236442566,169.3634033203125,363.70001220703125,5.9702794,45.5462582
1763481152521686800,7.605686767578125,88.63585662841797,0.24261261522769928,13.846048355102539,7.914000034332275,1.0601134300231934,174.30755615234375,363.70001220703125,5.9702788,45.5462581
1763481152910173200,7.994173095703125,90.22198486328125,0.2780746519565582,13.846048355102539,7.665999889373779,1.012425422668457,204.77853393554688,363.70001220703125,5.9702689,45.5462576
1763481153429939000,8.51393896484375,82.9760513305664,0.2281687706708908,13.846048355102539,7.458000183105469,1.0560826063156128,219.67076110839844,363.70001220703125,5.9702633,45.5462558
1763481154023741200,9.1077412109375,81.7432632446289,0.2734803259372711,13.84660530090332,7.4770002365112305,1.1048219203948975,231.9654541015625,363.70001220703125,5.9702585,45.5462544
1763481154129793000,9.21379296875,90.01973724365234,0.26513049006462097,13.84660530090332,7.388000011444092,1.1617026329040527,246.85256958007812,363.70001220703125,5.9702548,45.5462584
1763481154730942700,9.814942626953124,93.66226959228516,0.22836492955684662,13.84660530090332,7.083000183105469,1.116054892539978,256.6957092285156,363.70001220703125,5.9702483,45.5462602
1763481154925032200,10.0090322265625,91.50447082519531,0.267361581325531,13.846065521240234,7.2170000076293945,1.0890357494354248,265.1360168457031,363.70001220703125,5.9702469,45.546262
1763481155390521900,10.47452197265625,81.18644714355469,0.2278280258178711,13.846065521240234,7.251999855041504,1.0483407974243164,288.3843688964844,363.70001220703125,5.9702404,45.5462663
1763481155899929600,10.9839296875,81.70479583740234,0.26772168278694153,13.846065521240234,7.326000213623047,1.0809613466262817,305.34417724609375,363.70001220703125,5.9702356,45.5462703
1763481155927834000,11.011834228515625,66.65507507324219,0.2692353129386902,13.85007095336914,7.421999931335449,1.156962513923645,320.7105407714844,363.70001220703125,5.9702341,45.5462743
1763481156681747000,11.765746826171876,67.60212707519531,0.23833927512168884,13.85007095336914,7.25600004196167,1.106691837310791,320.14508056640625,363.70001220703125,5.9702265,45.5462807
1763481156927833900,12.011833740234374,53.681800842285156,0.28961658477783203,13.838447570800781,7.020999908447266,1.1050883531570435,324.5498352050781,363.70001220703125,5.9702212,45.546285
1763481157150731800,12.234731689453126,53.468563079833984,0.28961658477783203,13.838447570800781,7.067999839782715,1.0999940633773804,325.0633850097656,363.70001220703125,5.970218,45.5462879
1763481157909013200,12.99301318359375,49.3138313293457,0.2775675654411316,13.838447570800781,7.306000232696533,1.1033821105957031,318.19500732421875,363.70001220703125,5.9702094,45.5462927
1763481158029391600,13.1133916015625,49.42692565917969,0.2775675654411316,13.84519100189209,7.568999767303467,1.1047983169555664,318.26983642578125,363.70001220703125,5.970208,45.5462925
1763481158452207000,13.53620703125,32.9663200378418,0.22658893465995789,13.84519100189209,7.660999774932861,1.1338213682174683,317.172119140625,363.70001220703125,5.9701949,45.5462972
1763481159030355000,14.11435498046875,33.35933303833008,0.2637123167514801,13.54702377319336,7.742000102996826,1.1457873582839966,316.2354736328125,363.70001220703125,5.9701847,45.5463019
1763481159030790700,14.114790771484374,33.51041793823242,0.2637123167514801,13.047761917114258,7.751999855041504,1.146468162536621,315.92022705078125,363.70001220703125,5.9701829,45.546302
1763481159529767700,14.613767578125,24.882871627807617,0.22590267658233643,13.047761917114258,7.790999889373779,1.132257103919983,309.20697021484375,363.70001220703125,5.9701721,45.5463065
1763481160032196000,15.116196044921875,25.12874412536621,0.273090660572052,11.755064964294434,7.826000213623047,1.132210612297058,304.2574768066406,363.88455954387325,5.9701648,45.5463092
1763481160192332800,15.276332763671874,21.487159729003906,0.26510336995124817,11.755064964294434,7.71999979019165,1.141283392906189,300.37896728515625,363.88455954387325,5.9701567,45.5463104
1763481160829904400,15.913904296875,20.858413696289062,0.22390730679035187,11.755064964294434,7.6519999504089355,1.122707486152649,297.71453857421875,363.88455954387325,5.9701451,45.546313
1763481161033593900,16.11759375,21.115161895751953,0.25764551758766174,3.760287284851074,7.552999973297119,1.1137639284133911,298.1973571777344,365.9828071263134,5.9701421,45.5463134
1763481161471465500,16.555465576171876,15.5142183303833,0.2309039682149887,3.760287284851074,7.439000129699707,1.1417572498321533,296.0918884277344,365.9828071263134,5.9701313,45.5463153
1763481161934855000,17.01885498046875,16.40775489807129,0.27179455757141113,3.468620538711548,7.284999847412109,1.1514242887496948,295.8319396972656,366.009093856354,5.9701231,45.5463172
1763481162550229500,17.6342294921875,12.965033531188965,0.2206472009420395,3.468620538711548,7.0970001220703125,1.1297765970230103,291.9002380371094,366.009093856354,5.9701118,45.5463188
1763481162936253200,18.020253173828124,12.955012321472168,0.2642718255519867,3.340238332748413,6.861999988555908,1.1429978609085083,288.5308532714844,366.01711788505656,5.9701053,45.5463199
1763481163148263700,18.232263671875,12.401752471923828,0.25617244839668274,3.340238332748413,6.571000099182129,1.1588008403778076,286.44732666015625,366.01711788505656,5.9701004,45.5463197
1763481163549009000,18.6330087890625,13.087315559387207,0.22172442078590393,3.340238332748413,6.4070000648498535,1.171128749847412,283.1252136230469,366.01711788505656,5.9700923,45.5463198
1763481164037778400,19.1217783203125,12.570657730102539,0.26409298181533813,3.2556915283203125,6.334000110626221,1.1666525602340698,281.93408203125,366.04707426589044,5.9700845,45.5463202
1763481164249998000,19.333998046875,11.9799165725708,0.17661729454994202,3.2556915283203125,5.980999946594238,1.1410784721374512,279.7392272949219,366.04707426589044,5.97008,45.5463193
1763481164770689000,19.85468896484375,12.108479499816895,0.2238866090774536,3.2556915283203125,5.830999851226807,1.1456962823867798,275.3263854980469,366.04707426589044,5.9700719,45.5463194
1763481164838915300,19.922915283203125,13.06793212890625,0.27107107639312744,3.2528789043426514,5.7829999923706055,1.1504205465316772,273.76214599609375,366.05242391754695,5.9700701,45.5463194
1763481164939053800,20.0230537109375,13.079728126525879,0.27107107639312744,3.2335238456726074,5.743000030517578,1.1508450508117676,272.3273010253906,366.0224673541027,5.9700693,45.5463193
1763481165269565400,20.3535654296875,12.845498085021973,0.18774758279323578,3.2335238456726074,5.51200008392334,1.1484475135803223,264.462646484375,366.0224673541027,5.9700631,45.5463189
1763481165850372600,20.93437255859375,12.999597549438477,0.26760056614875793,3.2335238456726074,5.406000137329102,1.14772367477417,251.740234375,366.0224673541027,5.9700531,45.5463174
1763481165940436000,21.02443603515625,13.093395233154297,0.26760056614875793,3.217952013015747,5.39300012588501,1.1476054191589355,246.7428741455078,366.05991307471095,5.9700514,45.5463168
1763481166391033300,21.475033447265623,12.772178649902344,0.24680501222610474,3.217952013015747,5.2729997634887695,1.1201820373535156,231.9442596435547,366.05991307471095,5.9700447,45.5463141
1763481166869452000,21.9534521484375,12.835533142089844,0.24680501222610474,3.217952013015747,5.230000019073486,1.1186330318450928,213.83807373046875,366.05991307471095,5.9700391,45.5463102
1763481166941845500,22.025845458984374,13.346514701843262,0.28351905941963196,3.203749895095825,5.22599983215332,1.12015700340271,211.20228576660156,366.1973950997773,5.9700386,45.5463094
1763481167930919200,23.014919189453124,12.953733444213867,0.23747147619724274,3.203749895095825,5.120999813079834,1.1763222217559814,205.95272827148438,366.1973950997773,5.9700319,45.5462989
1763481168043406000,23.127406005859374,12.98153018951416,0.27219682931900024,5.9273881912231445,5.129000186920166,1.1763676404953003,206.47103881835938,364.3537020528199,5.9700317,45.5462979
